127.0.0.1 - - [24/Dec/2021:14:32:56 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:33:00 +0900] "GET /Bcle/MainPage.jsp HTTP/1.1" 200 9788
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:33:00 +0900] "GET /Bcle/css/font-awesome.min.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:33:00 +0900] "GET /Bcle/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:33:00 +0900] "GET /Bcle/images/pic1.jpg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:39:40 +0900] "GET /Bcle/MainPage.jsp HTTP/1.1" 200 11011
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:39:40 +0900] "GET /Bcle/css/font-awesome.min.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:39:40 +0900] "GET /Bcle/images/pic1.jpg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:39:40 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:40:14 +0900] "GET /Bcle/MainPage.jsp HTTP/1.1" 200 11565
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:40:14 +0900] "GET /Bcle/css/font-awesome.min.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:40:14 +0900] "GET /Bcle/images/pic1.jpg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:41:04 +0900] "GET /Bcle/MainPage.jsp HTTP/1.1" 200 11550
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:41:04 +0900] "GET /Bcle/css/font-awesome.min.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:41:05 +0900] "GET /Bcle/images/pic1.jpg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:42:10 +0900] "GET /Bcle/MainPage.jsp HTTP/1.1" 200 11611
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:42:10 +0900] "GET /Bcle/css/font-awesome.min.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:42:10 +0900] "GET /Bcle/images/pic1.jpg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:43:20 +0900] "GET /Bcle/MainPage.jsp HTTP/1.1" 200 11822
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:43:20 +0900] "GET /Bcle/css/font-awesome.min.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:43:20 +0900] "GET /Bcle/images/pic1.jpg HTTP/1.1" 404 778
